MINECRAFTWORLD
width height depth
100 100 255
x y z type
0 0 125 1
1 0 125 1
2 0 125 1
3 0 125 1
4 0 125 1
5 0 125 1
6 0 125 1
7 0 125 1
8 0 125 1
9 0 125 1
10 0 125 1
11 0 125 1
12 0 125 1
13 0 125 1
14 0 125 1
15 0 125 1
16 0 125 1
17 0 125 1
18 0 125 1
19 0 125 1
20 0 125 1
21 0 125 1
22 0 125 1
23 0 125 1
24 0 125 1
25 0 125 1
26 0 125 1
27 0 125 1
28 0 125 1
29 0 125 1
30 0 125 1
31 0 125 1
32 0 125 1
33 0 125 1
34 0 125 1
35 0 125 1
36 0 125 1
37 0 125 1
38 0 125 1
39 0 125 1
40 0 125 1
41 0 125 1
42 0 125 1
43 0 125 1
44 0 125 1
45 0 125 1
46 0 125 1
47 0 125 1
48 0 125 1
49 0 125 1
50 0 125 1
51 0 125 1
52 0 125 1
53 0 125 1
54 0 125 1
55 0 125 1
56 0 125 1
57 0 125 1
58 0 125 1
59 0 125 1
60 0 125 1
61 0 125 1
62 0 125 1
63 0 125 1
64 0 125 1
65 0 125 1
66 0 125 1
67 0 125 1
68 0 125 1
69 0 125 1
70 0 125 1
71 0 125 1
72 0 125 1
73 0 125 1
74 0 125 1
75 0 125 1
76 0 125 1
77 0 125 1
78 0 125 1
79 0 125 1
80 0 125 1
81 0 125 1
82 0 125 1
83 0 125 1
84 0 125 1
85 0 125 1
86 0 125 1
87 0 125 1
88 0 125 1
89 0 125 1
90 0 125 1
91 0 125 1
92 0 125 1
93 0 125 1
94 0 125 1
95 0 125 1
96 0 125 1
97 0 125 1
98 0 125 1
99 0 125 1
0 1 125 1
1 1 125 1
2 1 125 1
3 1 125 1
4 1 125 1
5 1 125 1
6 1 125 1
7 1 125 1
8 1 125 1
9 1 125 1
10 1 125 1
11 1 125 1
12 1 125 1
13 1 125 1
14 1 125 1
15 1 125 1
16 1 125 1
17 1 125 1
18 1 125 1
19 1 125 1
20 1 125 1
21 1 125 1
22 1 125 1
23 1 125 1
24 1 125 1
25 1 125 1
26 1 125 1
27 1 125 1
28 1 125 1
29 1 125 1
30 1 125 1
31 1 125 1
32 1 125 1
33 1 125 1
34 1 125 1
35 1 125 1
36 1 125 1
37 1 125 1
38 1 125 1
39 1 125 1
40 1 125 1
41 1 125 1
42 1 125 1
43 1 125 1
44 1 125 1
45 1 125 1
46 1 125 1
47 1 125 1
48 1 125 1
49 1 125 1
50 1 125 1
51 1 125 1
52 1 125 1
53 1 125 1
54 1 125 1
55 1 125 1
56 1 125 1
57 1 125 1
58 1 125 1
59 1 125 1
60 1 125 1
61 1 125 1
62 1 125 1
63 1 125 1
64 1 125 1
65 1 125 1
66 1 125 1
67 1 125 1
68 1 125 1
69 1 125 1
70 1 125 1
71 1 125 1
72 1 125 1
73 1 125 1
74 1 125 1
75 1 125 1
76 1 125 1
77 1 125 1
78 1 125 1
79 1 125 1
80 1 125 1
81 1 125 1
82 1 125 1
83 1 125 1
84 1 125 1
85 1 125 1
86 1 125 1
87 1 125 1
88 1 125 1
89 1 125 1
90 1 125 1
91 1 125 1
92 1 125 1
93 1 125 1
94 1 125 1
95 1 125 1
96 1 125 1
97 1 125 1
98 1 125 1
99 1 125 1
0 2 125 1
1 2 125 1
2 2 125 1
3 2 125 1
4 2 125 1
5 2 125 1
6 2 125 1
7 2 125 1
8 2 125 1
9 2 125 1
10 2 125 1
11 2 125 1
12 2 125 1
13 2 125 1
14 2 125 1
15 2 125 1
16 2 125 1
17 2 125 1
18 2 125 1
19 2 125 1
20 2 125 1
21 2 125 1
22 2 125 1
23 2 125 1
24 2 125 1
25 2 125 1
26 2 125 1
27 2 125 1
28 2 125 1
29 2 125 1
30 2 125 1
31 2 125 1
32 2 125 1
33 2 125 1
34 2 125 1
35 2 125 1
36 2 125 1
37 2 125 1
38 2 125 1
39 2 125 1
